         314666 function calls (311581 primitive calls) in 3.325 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       17    0.001    0.000    0.002    0.000 __init__.py:316(namedtuple)
      470    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
    123/5    0.000    0.000    0.663    0.133 <frozen importlib._bootstrap_external>:722(exec_module)
     1989    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      286    0.001    0.000    0.004    0.000 overrides.py:89(verify_matching_signatures)
      648    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
     2401    0.000    0.000    0.003    0.000 {method 'join' of 'str' objects}
    164/6    0.000    0.000    0.665    0.111 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
     1036    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
   254/85    0.000    0.000    0.001    0.000 sre_parse.py:174(getwidth)
       28    0.000    0.000    0.001    0.000 inspect.py:613(cleandoc)
    164/6    0.001    0.000    0.667    0.111 <frozen importlib._bootstrap>:978(_find_and_load)
      148    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     2561    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
5080/4857    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.000    0.000 {method 'createWithArray' of 'petsc4py.PETSc.Vec' objects}
        2    0.000    0.000    0.000    0.000 {method 'createWithArray' of 'petsc4py.PETSc.Vec' objects}
   337/12    0.000    0.000    0.660    0.055 {built-in method builtins.__import__}
      616    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
      246    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      123    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:793(get_code)
     3996    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.read}
       16    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
   205/36    0.001    0.000    0.002    0.000 sre_compile.py:71(_compile)
      161    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:882(_find_spec)
        1    0.001    0.001    0.001    0.001 {method 'read' of '_io.TextIOWrapper' objects}
      470    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
5080/4857    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 {built-in method posix.read}
       28    0.000    0.000    0.001    0.000 inspect.py:613(cleandoc)
     3913    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
     1778    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
     1362    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     1518    0.000    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
